,weight,BNPL1,BNPL3,BNPL4_a,BNPL4_b,BNPL4_c,BNPL4_d,BNPL4_e,BNPL4_f,EF3_a,EF3_b,EF3_c,EF3_d,EF3_e,EF3_f,EF3_g,EF3_h,I20,ppfs0596,ppeducat,ppage,ppagecat,ppethm,ppgender,ppinc7,ppemploy,ppmarit5,pphhsize,ppkid017,ppfs1482,SL6,B3,A6,C4A,EF1,L0C,I41_c,I41_e,A1_a,A1_b,A1_c,X12_a,X12_b,X12_c,X12_d,X12_e,X12_f,X12_g,EF5C,year
11386,0.92,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,More than your income,,Some college or Associate's degree,61,55-64,"White, Non-Hispanic",Male,"$150,000 or more",Working full-time,Now married,3,0,,,Somewhat worse off,Somewhat confident,Most or all of the time,No,,No,,No,No,No,Major concern,Minor concern,Minor concern,Minor concern,Major concern,Not a concern,Major concern,Yes,2024
11387,1.247,No,,,,,,,,No,No,Yes,No,No,No,No,No,Less than your income,,Bachelor's degree or higher,54,45-54,"White, Non-Hispanic",Female,"$150,000 or more",Not working,Now married,3,0,,,About the same,Very confident,Never carried an unpaid balance (always pay in full),Yes,,No,,,,,,,,,,,,Yes,2024
11388,0.8764,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,The same as your income,,Some college or Associate's degree,74,65-74,"Black, Non-Hispanic",Female,"$50,000 to $74,999",Not working,Divorced,2,0,,,About the same,Very confident,Some of the time,Yes,,No,,No,No,No,Not a concern,Major concern,Not a concern,Minor concern,Major concern,Major concern,Not a concern,Yes,2024
11389,1.0566,No,,,,,,,,Yes,No,No,No,No,No,No,No,Less than your income,,Bachelor's degree or higher,23,18-24,"White, Non-Hispanic",Male,"$150,000 or more",Working full-time,Never married,3,0,Excellent,,About the same,Very confident,Never carried an unpaid balance (always pay in full),Yes,,No,,,,,,,,,,,,Yes,2024
11390,1.6792,No,,,,,,,,No,No,Yes,No,No,No,No,No,Less than your income,,Bachelor's degree or higher,23,18-24,"Other, Non-Hispanic",Female,"$100,000 to $149,999",Working full-time,Never married,3,0,,,Somewhat better off,Somewhat confident,Never carried an unpaid balance (always pay in full),Yes,,No,,No,No,No,Major concern,Minor concern,Minor concern,Major concern,Not a concern,Minor concern,Minor concern,Yes,2024
11391,1.3085,No,,,,,,,,No,No,Yes,No,No,No,No,No,The same as your income,,Bachelor's degree or higher,28,25-34,"Black, Non-Hispanic",Female,"$100,000 to $149,999",Working full-time,Never married,3,1,,Yes,About the same,Not confident,Most or all of the time,No,1,No,No,,,,,,,,,,,Yes,2024
11392,0.902,No,,,,,,,,No,Yes,No,No,No,No,No,No,The same as your income,,Some college or Associate's degree,47,45-54,"White, Non-Hispanic",Male,"$100,000 to $149,999",Working full-time,Now married,4,0,,,About the same,Very confident,Some of the time,No,,No,,,,,Major concern,Major concern,Major concern,Major concern,Major concern,Major concern,Minor concern,Yes,2024
11393,1.4898,No,,,,,,,,No,No,No,No,No,No,No,Yes,More than your income,,No high school diploma or GED,41,35-44,"Black, Non-Hispanic",Male,"$10,000 to $24,999",Not working,Never married,1,0,,,About the same,Don’t know,,No,,No,,No,No,No,,,,,,,,Yes,2024
11394,0.8605,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,The same as your income,,Bachelor's degree or higher,55,55-64,"White, Non-Hispanic",Female,"$75,000 to $99,999",Working full-time,Divorced,2,1,,,About the same,Very confident,Most or all of the time,Yes,,No,,No,Yes,Yes,Major concern,Major concern,Major concern,Major concern,Not a concern,Minor concern,Minor concern,Yes,2024
11395,0.2908,No,,,,,,,,Yes,No,No,No,No,No,No,No,Less than your income,,Bachelor's degree or higher,38,35-44,"2+ Races, Non-Hispanic",Male,"$150,000 or more",Working full-time,Now married,4,2,,,About the same,Very confident,Never carried an unpaid balance (always pay in full),Yes,2,No,Yes,No,No,No,Minor concern,Major concern,Major concern,Minor concern,Minor concern,Minor concern,Minor concern,Yes,2024
11396,1.2294,No,,,,,,,,Yes,No,No,No,No,No,No,No,Less than your income,,Bachelor's degree or higher,24,18-24,"White, Non-Hispanic",Female,"$100,000 to $149,999",Working full-time,Never married,2,0,Good,,About the same,Very confident,Never carried an unpaid balance (always pay in full),Yes,,No,,No,No,No,,,,,,,,Yes,2024
11397,1.2668,No,,,,,,,,No,No,Yes,No,No,No,No,No,More than your income,,Some college or Associate's degree,18,18-24,Hispanic,Female,"$100,000 to $149,999",Working part-time,Never married,2,0,Don’t know,,Much better off,Somewhat confident,,Yes,,No,,,,,,,,,,,,Yes,2024
11398,1.4722,No,,,,,,,,Yes,No,Yes,No,No,No,Yes,No,The same as your income,,High school graduate (high school diploma or the equivalent GED),18,18-24,"White, Non-Hispanic",Male,"$75,000 to $99,999",Not working,Never married,6,4,Excellent,No,About the same,Very confident,Never carried an unpaid balance (always pay in full),No,,No,,,,,,,,,,,,Yes,2024
11399,0.7856,No,,,,,,,,Yes,No,No,No,No,No,No,No,Less than your income,,Bachelor's degree or higher,54,45-54,"White, Non-Hispanic",Male,"$150,000 or more",Working full-time,Now married,4,1,,,Somewhat better off,Very confident,Never carried an unpaid balance (always pay in full),Yes,,No,,No,No,No,Not a concern,Minor concern,Minor concern,Not a concern,Not a concern,Not a concern,Not a concern,Yes,2024
11400,0.652,No,,,,,,,,No,No,Yes,No,No,No,No,No,Less than your income,,Some college or Associate's degree,60,55-64,"White, Non-Hispanic",Female,"$25,000 to $49,999",Working full-time,Widowed,2,0,,No,About the same,Very confident,Most or all of the time,Yes,,No,,,,,,,,,,,,Yes,2024
11401,1.1295,No,,,,,,,,No,No,No,No,No,No,No,Yes,More than your income,,High school graduate (high school diploma or the equivalent GED),23,18-24,"Black, Non-Hispanic",Female,"$10,000 to $24,999",Not working,Never married,1,0,,,Somewhat better off,Not confident,,No,,No,,Yes,No,Yes,,,,,,,,Yes,2024
11402,0.743,No,,,,,,,,No,Yes,No,No,No,No,No,No,The same as your income,,Some college or Associate's degree,79,75+,"White, Non-Hispanic",Male,"$100,000 to $149,999",Not working,Now married,4,0,,,About the same,Very confident,Most or all of the time,No,,No,,No,No,No,Not a concern,Major concern,Minor concern,Major concern,Minor concern,Major concern,Not a concern,Yes,2024
11403,1.0986,No,,,,,,,,No,Yes,No,No,No,No,No,No,Less than your income,,No high school diploma or GED,65,65-74,"White, Non-Hispanic",Female,"$50,000 to $74,999",Working part-time,Divorced,3,0,,,Somewhat worse off,Very confident,Most or all of the time,No,,No,,,,,Not a concern,Major concern,Minor concern,Not a concern,Major concern,Not a concern,Not a concern,Yes,2024
