,weight,BNPL1,BNPL3,BNPL4_a,BNPL4_b,BNPL4_c,BNPL4_d,BNPL4_e,BNPL4_f,EF3_a,EF3_b,EF3_c,EF3_d,EF3_e,EF3_f,EF3_g,EF3_h,I20,ppfs0596,ppeducat,ppage,ppagecat,ppethm,ppgender,ppinc7,ppemploy,ppmarit5,pphhsize,ppkid017,ppfs1482,SL6,B3,A6,C4A,EF1,L0C,I41_c,I41_e,A1_a,A1_b,A1_c,X12_a,X12_b,X12_c,X12_d,X12_e,X12_f,X12_g,EF5C,year
0,0.5404,No,,,,,,,,Yes,No,No,No,No,No,No,No,The same as your income,"$50,000 - $99,999",Bachelor's degree or higher,54,45-54,"White, Non-Hispanic",Male,"$100,000 to $149,999",Working full-time,Now married,4,2,Excellent,,About the same,Very confident,Never carried an unpaid balance (always pay in full),Yes,2,No,No,No,No,No,,,,,,,,,2021
1,0.7613,No,,,,,,,,Yes,No,No,No,No,No,No,No,More than your income,Not sure,Bachelor's degree or higher,56,55-64,"White, Non-Hispanic",Female,"$75,000 to $99,999",Working part-time,Now married,4,0,Excellent,,About the same,Very confident,Never carried an unpaid balance (always pay in full),Yes,,,,Yes,No,No,,,,,,,,,2021
2,0.789,No,,,,,,,,No,No,Yes,No,No,No,No,No,Less than your income,"Under $50,000",High school graduate (high school diploma or the equivalent GED),76,75+,"White, Non-Hispanic",Male,"$25,000 to $49,999",Not working,Widowed,1,0,Excellent,,About the same,Very confident,Most or all of the time,Yes,,,,,,,,,,,,,,,2021
3,0.5585,No,,,,,,,,Yes,No,No,No,No,No,No,No,Less than your income,,Bachelor's degree or higher,69,65-74,"White, Non-Hispanic",Male,"$150,000 or more",Not working,Now married,2,0,,,About the same,Very confident,Never carried an unpaid balance (always pay in full),Yes,,,,,,,,,,,,,,,2021
4,0.8362,No,,,,,,,,No,Yes,Yes,No,Yes,No,Yes,Yes,More than your income,"Under $50,000",High school graduate (high school diploma or the equivalent GED),62,55-64,"White, Non-Hispanic",Female,"$50,000 to $74,999",Working part-time,Now married,8,1,Good,,Somewhat worse off,Not confident,Most or all of the time,No,,,,,,,,,,,,,,,2021
5,0.7032,No,,,,,,,,Yes,Yes,No,No,Yes,No,No,No,The same as your income,"$250,000 - $499,999",Some college or Associate's degree,61,55-64,"White, Non-Hispanic",Female,"$50,000 to $74,999",Working part-time,Widowed,2,0,Excellent,,About the same,Very confident,Never carried an unpaid balance (always pay in full),Yes,,,,,,,,,,,,,,,2021
6,0.6262,No,,,,,,,,Yes,No,Yes,No,No,No,No,No,The same as your income,"$250,000 - $499,999",Bachelor's degree or higher,66,65-74,"White, Non-Hispanic",Female,"$50,000 to $74,999",Not working,Divorced,2,1,Excellent,,About the same,Very confident,Never carried an unpaid balance (always pay in full),Yes,,,,,,,,,,,,,,,2021
7,1.3024,No,,,,,,,,No,No,Yes,No,No,No,No,No,Less than your income,"$1,000,000 or more",High school graduate (high school diploma or the equivalent GED),82,75+,"White, Non-Hispanic",Female,"$150,000 or more",Not working,Now married,1,0,Excellent,,Somewhat better off,Very confident,Never carried an unpaid balance (always pay in full),Yes,,,,,,,,,,,,,,,2021
8,0.6719,No,,,,,,,,Yes,No,No,No,No,No,No,No,More than your income,"Under $50,000",Some college or Associate's degree,79,75+,"White, Non-Hispanic",Female,"$50,000 to $74,999",Not working,Now married,2,0,Excellent,,Much worse off,Very confident,Never carried an unpaid balance (always pay in full),Yes,,,,,,,,,,,,,,,2021
9,0.5518,No,,,,,,,,Yes,No,No,No,No,No,No,No,The same as your income,"$50,000 - $99,999",Bachelor's degree or higher,82,75+,"Other, Non-Hispanic",Male,"$75,000 to $99,999",Not working,Now married,2,0,Excellent,,About the same,Very confident,Never carried an unpaid balance (always pay in full),No,,,,,,,,,,,,,,,2021
10,0.6083,No,,,,,,,,Yes,No,Yes,No,No,No,No,No,The same as your income,"$250,000 - $499,999",Bachelor's degree or higher,71,65-74,"White, Non-Hispanic",Male,"$150,000 or more",Not working,Now married,4,1,Excellent,,About the same,Somewhat confident,Most or all of the time,Yes,,,,Yes,No,No,,,,,,,,,2021
11,0.9753,No,,,,,,,,No,No,Yes,No,No,No,No,No,Less than your income,"$500,000 - $999,999",Bachelor's degree or higher,89,75+,"White, Non-Hispanic",Female,"$150,000 or more",Not working,Widowed,1,0,Excellent,,Somewhat better off,Very confident,Never carried an unpaid balance (always pay in full),Yes,,,,,,,,,,,,,,,2021
12,0.9753,No,,,,,,,,Yes,No,Yes,No,No,No,No,No,Less than your income,"$1,000,000 or more",Bachelor's degree or higher,80,75+,"White, Non-Hispanic",Female,"$150,000 or more",Not working,Now married,2,0,Excellent,,Much worse off,Very confident,Never carried an unpaid balance (always pay in full),Yes,,,,,,,,,,,,,,,2021
13,0.9769,No,,,,,,,,No,No,Yes,No,No,No,No,No,More than your income,"$50,000 - $99,999",High school graduate (high school diploma or the equivalent GED),77,75+,"White, Non-Hispanic",Male,"$50,000 to $74,999",Not working,Now married,2,0,Good,,About the same,Very confident,Most or all of the time,No,,,,,,,,,,,,,,,2021
14,0.7414,No,,,,,,,,Yes,No,Yes,No,No,No,No,No,The same as your income,,High school graduate (high school diploma or the equivalent GED),69,65-74,"White, Non-Hispanic",Male,"$10,000 to $24,999",Not working,Now married,2,0,Excellent,,About the same,Very confident,Never carried an unpaid balance (always pay in full),Yes,,,,,,,,,,,,,,,2021
15,0.5694,No,,,,,,,,No,Yes,No,No,No,No,No,No,More than your income,"$50,000 - $99,999",Bachelor's degree or higher,74,65-74,"White, Non-Hispanic",Female,"$25,000 to $49,999",Not working,Divorced,1,0,Poor,,Somewhat worse off,Not confident,Once,No,,,,Yes,No,Yes,,,,,,,,,2021
16,0.4592,No,,,,,,,,No,No,Yes,No,No,No,No,No,Less than your income,"$100,000 - $249,999",Bachelor's degree or higher,82,75+,"White, Non-Hispanic",Male,"$100,000 to $149,999",Not working,Now married,2,0,Excellent,,About the same,Very confident,Never carried an unpaid balance (always pay in full),Yes,,,,,,,,,,,,,,,2021
17,1.5564,No,,,,,,,,Yes,No,No,No,No,No,No,No,Less than your income,"$100,000 - $249,999",Bachelor's degree or higher,29,25-34,"White, Non-Hispanic",Female,"$150,000 or more",Working full-time,Now married,2,0,Excellent,,Somewhat better off,Very confident,Never carried an unpaid balance (always pay in full),Yes,,,,No,No,No,,,,,,,,,2021
18,0.601,No,,,,,,,,Yes,No,No,No,No,No,No,No,Less than your income,"$100,000 - $249,999",Some college or Associate's degree,63,55-64,"White, Non-Hispanic",Male,"$75,000 to $99,999",Working full-time,Now married,2,0,Good,,About the same,Very confident,Never carried an unpaid balance (always pay in full),Yes,,,,,,,,,,,,,,,2021
19,0.769,No,,,,,,,,No,No,No,No,No,No,No,Yes,The same as your income,"Under $50,000",High school graduate (high school diploma or the equivalent GED),73,65-74,"White, Non-Hispanic",Female,"$25,000 to $49,999",Not working,Widowed,3,0,Fair,,About the same,Somewhat confident,,No,,,,,,,,,,,,,,,2021
20,1.3993,No,,,,,,,,No,No,Yes,No,No,No,No,No,Less than your income,Not sure,No high school diploma or GED,62,55-64,"2+ Races, Non-Hispanic",Female,"$150,000 or more",Not working,Now married,2,0,Excellent,,About the same,Somewhat confident,,Yes,,,,,,,,,,,,,,,2021
21,0.7249,No,,,,,,,,Yes,No,Yes,No,No,No,No,No,Less than your income,"$500,000 - $999,999",Bachelor's degree or higher,74,65-74,"Black, Non-Hispanic",Male,"$150,000 or more",Working full-time,Now married,2,0,Excellent,,About the same,Very confident,Never carried an unpaid balance (always pay in full),Yes,,,,,,,,,,,,,,,2021
22,0.678,No,,,,,,,,No,No,No,No,No,No,Yes,No,Less than your income,"Under $50,000",High school graduate (high school diploma or the equivalent GED),77,75+,"White, Non-Hispanic",Male,"$10,000 to $24,999",Not working,Now married,3,0,Excellent,,About the same,Very confident,Most or all of the time,No,,,,,,,,,,,,,,,2021
23,1.0383,No,,,,,,,,Yes,No,Yes,No,No,No,No,No,Less than your income,"Under $50,000",Some college or Associate's degree,52,45-54,"White, Non-Hispanic",Male,"$150,000 or more",Working full-time,Now married,2,0,Excellent,,About the same,Very confident,Never carried an unpaid balance (always pay in full),Yes,,,,No,No,No,,,,,,,,,2021
24,1.3055,No,,,,,,,,No,No,Yes,No,No,No,No,No,Less than your income,"$500,000 - $999,999",High school graduate (high school diploma or the equivalent GED),53,45-54,"White, Non-Hispanic",Male,"$100,000 to $149,999",Working full-time,Now married,3,0,Excellent,,Somewhat better off,Very confident,Never carried an unpaid balance (always pay in full),Yes,,,,,,,,,,,,,,,2021
25,0.7158,No,,,,,,,,No,No,Yes,No,No,No,No,No,The same as your income,,Bachelor's degree or higher,53,45-54,"White, Non-Hispanic",Male,"$150,000 or more",Working full-time,Now married,3,1,Excellent,,Somewhat better off,Very confident,Some of the time,Yes,,,,,,,,,,,,,,,2021
26,0.6457,No,,,,,,,,No,No,Yes,No,No,No,No,No,The same as your income,"$100,000 - $249,999",Some college or Associate's degree,71,65-74,"White, Non-Hispanic",Female,"$25,000 to $49,999",Not working,Widowed,2,1,Excellent,,Somewhat worse off,Very confident,Some of the time,Yes,,,,,,,,,,,,,,,2021
27,0.769,No,,,,,,,,Yes,No,No,No,No,No,No,No,Less than your income,"$250,000 - $499,999",High school graduate (high school diploma or the equivalent GED),77,75+,"White, Non-Hispanic",Female,"$50,000 to $74,999",Not working,Now married,2,0,Excellent,,About the same,Very confident,Some of the time,Yes,,,,,,,,,,,,,,,2021
28,1.5773,No,,,,,,,,No,No,Yes,No,No,No,No,No,Less than your income,,High school graduate (high school diploma or the equivalent GED),59,55-64,"Black, Non-Hispanic",Female,"$75,000 to $99,999",Working full-time,Now married,3,0,Don’t know,,Somewhat better off,Don’t know,Some of the time,Yes,,,,,,,,,,,,,,,2021
29,0.8409,No,,,,,,,,No,No,Yes,No,No,No,No,No,The same as your income,"$50,000 - $99,999",High school graduate (high school diploma or the equivalent GED),78,75+,"White, Non-Hispanic",Female,"$50,000 to $74,999",Not working,Now married,1,0,Excellent,,About the same,Very confident,Some of the time,Yes,,,,,,,,,,,,,,,2021
30,0.4618,No,,,,,,,,Yes,No,No,No,No,No,No,No,Less than your income,"$1,000,000 or more",Bachelor's degree or higher,78,75+,"White, Non-Hispanic",Male,"$100,000 to $149,999",Not working,Now married,2,0,Excellent,,Somewhat better off,Very confident,Never carried an unpaid balance (always pay in full),Yes,,,,,,,,,,,,,,,2021
31,0.3553,Yes,No,,,,No,Yes,No,No,Yes,Yes,No,No,No,No,No,The same as your income,"Under $50,000",Some college or Associate's degree,47,45-54,"2+ Races, Non-Hispanic",Male,"$50,000 to $74,999",Working full-time,Divorced,8,2,Fair,No,Somewhat better off,Not confident,Most or all of the time,No,,,,,,,,,,,,,,,2021
32,0.5534,No,,,,,,,,Yes,No,No,No,No,No,No,No,Less than your income,"$250,000 - $499,999",Bachelor's degree or higher,63,55-64,"Black, Non-Hispanic",Male,"$100,000 to $149,999",Working full-time,Now married,2,0,Excellent,,About the same,Very confident,Never carried an unpaid balance (always pay in full),Yes,,,,,,,,,,,,,,,2021
33,0.9382,No,,,,,,,,Yes,No,No,No,No,No,No,No,Less than your income,"$1,000,000 or more",High school graduate (high school diploma or the equivalent GED),70,65-74,"White, Non-Hispanic",Male,"$50,000 to $74,999",Not working,Widowed,1,0,Good,,Somewhat better off,Very confident,Never carried an unpaid balance (always pay in full),Yes,,,,,,,,,,,,,,,2021
34,1.1113,No,,,,,,,,Yes,No,No,No,No,No,No,No,Less than your income,,Bachelor's degree or higher,58,55-64,"White, Non-Hispanic",Female,"$150,000 or more",Working part-time,Now married,1,0,Excellent,,About the same,Very confident,Some of the time,Yes,,,,No,No,No,,,,,,,,,2021
35,1.031,No,,,,,,,,No,Yes,No,No,No,No,No,No,More than your income,"Under $50,000",No high school diploma or GED,85,75+,"White, Non-Hispanic",Male,"$25,000 to $49,999",Not working,Now married,2,0,Good,,Somewhat worse off,Somewhat confident,Most or all of the time,No,,,,No,No,No,,,,,,,,,2021
36,0.5694,No,,,,,,,,Yes,No,No,No,No,No,No,No,The same as your income,"$50,000 - $99,999",Bachelor's degree or higher,73,65-74,"White, Non-Hispanic",Female,"$25,000 to $49,999",Not working,Divorced,1,0,Excellent,,About the same,Very confident,Never carried an unpaid balance (always pay in full),Yes,,,,,,,,,,,,,,,2021
37,0.7759,No,,,,,,,,Yes,No,No,No,No,No,No,No,Less than your income,"$250,000 - $499,999",Bachelor's degree or higher,54,45-54,"White, Non-Hispanic",Female,"$100,000 to $149,999",Working part-time,Now married,3,0,Excellent,,About the same,Very confident,Never carried an unpaid balance (always pay in full),No,,,,No,No,No,,,,,,,,,2021
38,0.7044,No,,,,,,,,Yes,No,No,No,No,No,No,No,Less than your income,"$100,000 - $249,999",Some college or Associate's degree,51,45-54,"White, Non-Hispanic",Male,"$75,000 to $99,999",Not working,Now married,3,0,Excellent,,About the same,Very confident,Never carried an unpaid balance (always pay in full),Yes,,,,,,,,,,,,,,,2021
39,1.7473,No,,,,,,,,No,No,Yes,No,No,No,No,No,Less than your income,"Under $50,000",High school graduate (high school diploma or the equivalent GED),67,65-74,Hispanic,Male,"$100,000 to $149,999",Working full-time,Now married,3,0,Good,,Somewhat better off,Not confident,Some of the time,Yes,,,,Yes,No,Yes,,,,,,,,,2021
40,1.2433,No,,,,,,,,No,No,Yes,No,No,No,No,No,The same as your income,"Under $50,000",High school graduate (high school diploma or the equivalent GED),51,45-54,"Black, Non-Hispanic",Female,"$25,000 to $49,999",Not working,Divorced,2,1,Excellent,,Somewhat worse off,Very confident,Some of the time,Yes,1,No,Yes,No,No,No,,,,,,,,,2021
41,0.8113,No,,,,,,,,No,No,Yes,No,No,No,No,No,Less than your income,"$250,000 - $499,999",Some college or Associate's degree,78,75+,"White, Non-Hispanic",Female,"$75,000 to $99,999",Not working,Now married,2,0,Excellent,,About the same,Very confident,Never carried an unpaid balance (always pay in full),Yes,,,,,,,,,,,,,,,2021
42,1.042,No,,,,,,,,Yes,No,No,No,No,No,No,No,Less than your income,"$100,000 - $249,999",High school graduate (high school diploma or the equivalent GED),54,45-54,"White, Non-Hispanic",Female,"$100,000 to $149,999",Working full-time,Now married,4,0,Excellent,,About the same,Very confident,Some of the time,Yes,,,,,,,,,,,,,,,2021
43,0.855,No,,,,,,,,Yes,No,No,No,No,No,No,No,Less than your income,,Some college or Associate's degree,57,55-64,"White, Non-Hispanic",Female,"$75,000 to $99,999",Working full-time,Never married,1,0,Excellent,,About the same,Very confident,Never carried an unpaid balance (always pay in full),Yes,,,,,,,,,,,,,,,2021
44,1.0221,No,,,,,,,,Yes,No,No,No,No,No,No,No,The same as your income,,Bachelor's degree or higher,56,55-64,"White, Non-Hispanic",Female,"$150,000 or more",Working full-time,Now married,2,0,Excellent,,Somewhat better off,Very confident,Never carried an unpaid balance (always pay in full),Yes,,,,,,,,,,,,,,,2021
45,0.4223,No,,,,,,,,Yes,No,Yes,No,No,No,No,No,Less than your income,"$1,000,000 or more",Bachelor's degree or higher,84,75+,"White, Non-Hispanic",Male,"$100,000 to $149,999",Not working,Now married,2,0,Excellent,,About the same,Very confident,Never carried an unpaid balance (always pay in full),Yes,,,,,,,,,,,,,,,2021
46,0.497,No,,,,,,,,No,No,Yes,No,No,No,No,No,Less than your income,,Bachelor's degree or higher,57,55-64,"White, Non-Hispanic",Male,"$100,000 to $149,999",Working full-time,Now married,3,1,,,Somewhat better off,Very confident,Never carried an unpaid balance (always pay in full),Yes,,,,No,No,No,,,,,,,,,2021
47,0.6546,Yes,No,,,,No,No,No,Yes,No,No,No,No,No,No,No,Less than your income,"$1,000,000 or more",Bachelor's degree or higher,55,55-64,"White, Non-Hispanic",Male,"$150,000 or more",Working full-time,Now married,3,0,Excellent,,Somewhat better off,Very confident,Never carried an unpaid balance (always pay in full),Yes,,,,,,,,,,,,,,,2021
48,1.0221,No,,,,,,,,Yes,No,No,No,No,No,No,No,Less than your income,"$100,000 - $249,999",Bachelor's degree or higher,52,45-54,"White, Non-Hispanic",Female,"$150,000 or more",Working full-time,Now married,2,0,Excellent,,About the same,Very confident,Never carried an unpaid balance (always pay in full),Yes,,,,,,,,,,,,,,,2021
49,0.5642,No,,,,,,,,Yes,No,No,No,No,No,No,No,Less than your income,"$250,000 - $499,999",Some college or Associate's degree,74,65-74,"White, Non-Hispanic",Male,"$50,000 to $74,999",Working part-time,Now married,2,0,Excellent,,About the same,Very confident,Never carried an unpaid balance (always pay in full),Yes,,,,,,,,,,,,,,,2021
50,1.1996,No,,,,,,,,Yes,Yes,Yes,No,No,No,No,No,Less than your income,"Under $50,000",High school graduate (high school diploma or the equivalent GED),73,65-74,Hispanic,Female,"$25,000 to $49,999",Not working,Now married,2,0,Don’t know,,About the same,Very confident,Never carried an unpaid balance (always pay in full),Yes,,,,No,No,No,,,,,,,,,2021
51,0.726,No,,,,,,,,No,No,Yes,No,No,No,No,No,Less than your income,Not sure,Some college or Associate's degree,54,45-54,"White, Non-Hispanic",Male,"$50,000 to $74,999",Not working,Never married,1,0,Don’t know,,About the same,Very confident,Never carried an unpaid balance (always pay in full),Yes,,,,,,,,,,,,,,,2021
52,0.4223,No,,,,,,,,Yes,No,Yes,No,No,No,No,No,The same as your income,"$1,000,000 or more",Bachelor's degree or higher,69,65-74,"White, Non-Hispanic",Male,"$100,000 to $149,999",Not working,Now married,2,0,Excellent,,Somewhat worse off,Very confident,Never carried an unpaid balance (always pay in full),Yes,,,,No,No,No,,,,,,,,,2021
53,0.9435,No,,,,,,,,No,No,Yes,No,No,No,No,No,The same as your income,"$50,000 - $99,999",High school graduate (high school diploma or the equivalent GED),74,65-74,"White, Non-Hispanic",Male,"$50,000 to $74,999",Not working,Now married,3,0,Excellent,,About the same,Very confident,,No,,,,No,No,No,,,,,,,,,2021
54,0.7647,No,,,,,,,,Yes,No,Yes,No,No,No,No,No,Less than your income,"$50,000 - $99,999",High school graduate (high school diploma or the equivalent GED),89,75+,"White, Non-Hispanic",Female,"$25,000 to $49,999",Not working,Widowed,1,0,Good,,About the same,Very confident,Never carried an unpaid balance (always pay in full),Yes,,,,,,,,,,,,,,,2021
55,3.5512,No,,,,,,,,Yes,No,No,No,No,No,No,No,The same as your income,"$250,000 - $499,999",High school graduate (high school diploma or the equivalent GED),63,55-64,"Other, Non-Hispanic",Male,"$100,000 to $149,999",Working full-time,Now married,4,0,Excellent,,About the same,Very confident,Never carried an unpaid balance (always pay in full),No,,,,,,,,,,,,,,,2021
56,0.7158,No,,,,,,,,No,No,Yes,No,No,No,No,No,Less than your income,"$500,000 - $999,999",Bachelor's degree or higher,53,45-54,"White, Non-Hispanic",Male,"$150,000 or more",Working full-time,Now married,3,0,Excellent,No,Much better off,Very confident,Never carried an unpaid balance (always pay in full),Yes,,,,,,,,,,,,,,,2021
57,0.4223,No,,,,,,,,No,No,Yes,No,No,No,No,No,Less than your income,"$50,000 - $99,999",Bachelor's degree or higher,60,55-64,"White, Non-Hispanic",Male,"$100,000 to $149,999",Working full-time,Now married,2,0,Good,,Somewhat better off,Very confident,Some of the time,Yes,,,,,,,,,,,,,,,2021
58,0.7097,No,,,,,,,,No,No,Yes,No,No,No,No,No,Less than your income,"Under $50,000",Bachelor's degree or higher,65,65-74,"Other, Non-Hispanic",Female,"$10,000 to $24,999",Not working,Divorced,1,0,Good,,Somewhat worse off,Somewhat confident,Never carried an unpaid balance (always pay in full),No,,,,,,,,,,,,,,,2021
59,1.4867,No,,,,,,,,No,No,Yes,No,No,No,No,No,The same as your income,"Under $50,000",High school graduate (high school diploma or the equivalent GED),59,55-64,"Black, Non-Hispanic",Female,"$50,000 to $74,999",Not working,Now married,1,0,Good,,About the same,Very confident,Most or all of the time,Yes,,,,,,,,,,,,,,,2021
60,0.8158,No,,,,,,,,Yes,No,No,No,No,No,No,No,Less than your income,"$1,000,000 or more",Some college or Associate's degree,71,65-74,"White, Non-Hispanic",Female,"$75,000 to $99,999",Working part-time,Now married,2,0,Excellent,,About the same,Very confident,Never carried an unpaid balance (always pay in full),Yes,,,,,,,,,,,,,,,2021
61,0.9051,No,,,,,,,,Yes,No,No,No,No,No,No,No,Less than your income,,Some college or Associate's degree,57,55-64,"Black, Non-Hispanic",Male,"$50,000 to $74,999",Working full-time,Now married,2,0,,,Much better off,Very confident,Never carried an unpaid balance (always pay in full),Yes,,,,,,,,,,,,,,,2021
62,1.5804,No,,,,,,,,No,No,No,No,Yes,No,No,No,The same as your income,"$100,000 - $249,999",Some college or Associate's degree,59,55-64,"Other, Non-Hispanic",Male,"$100,000 to $149,999",Working full-time,Never married,2,0,Fair,,About the same,Don’t know,,No,,,,,,,,,,,,,,,2021
63,0.8773,No,,,,,,,,Yes,No,No,No,No,No,No,No,Less than your income,,Bachelor's degree or higher,68,65-74,"Other, Non-Hispanic",Male,"$150,000 or more",Working full-time,Now married,3,0,Excellent,,Somewhat worse off,Somewhat confident,Never carried an unpaid balance (always pay in full),Yes,,,,No,No,No,,,,,,,,,2021
64,1.6018,No,,,,,,,,Yes,No,No,No,No,No,No,No,The same as your income,"Under $50,000",No high school diploma or GED,53,45-54,"White, Non-Hispanic",Male,"$75,000 to $99,999",Not working,Divorced,3,0,Very poor,,Somewhat worse off,Don’t know,Most or all of the time,No,,,,Yes,Yes,Yes,,,,,,,,,2021
65,0.6924,No,,,,,,,,Yes,Yes,No,Yes,No,No,Yes,No,More than your income,,Some college or Associate's degree,56,55-64,"White, Non-Hispanic",Female,"$10,000 to $24,999",Working part-time,Separated,1,0,Excellent,,About the same,Somewhat confident,Some of the time,No,,,,,,,,,,,,,,,2021
66,0.8091,No,,,,,,,,No,No,Yes,No,No,No,No,No,The same as your income,"Under $50,000",High school graduate (high school diploma or the equivalent GED),47,45-54,"White, Non-Hispanic",Female,"$25,000 to $49,999",Working part-time,Now married,4,1,Good,,About the same,Somewhat confident,Most or all of the time,No,1,No,No,No,No,No,,,,,,,,,2021
67,1.254,No,,,,,,,,Yes,No,Yes,No,No,No,No,No,Less than your income,"Under $50,000",High school graduate (high school diploma or the equivalent GED),39,35-44,"White, Non-Hispanic",Female,"$50,000 to $74,999",Working part-time,Now married,4,1,Fair,,Somewhat better off,Somewhat confident,Some of the time,Yes,1,No,Yes,Yes,No,No,,,,,,,,,2021
68,0.9052,No,,,,,,,,No,No,Yes,No,No,No,No,No,More than your income,"Under $50,000",High school graduate (high school diploma or the equivalent GED),63,55-64,"White, Non-Hispanic",Male,"$75,000 to $99,999",Not working,Divorced,2,0,Poor,,Much worse off,Not confident,,No,,,,Yes,No,Yes,,,,,,,,,2021
69,0.5986,No,,,,,,,,No,No,Yes,No,No,No,No,No,More than your income,"$500,000 - $999,999",Some college or Associate's degree,63,55-64,"White, Non-Hispanic",Male,"$75,000 to $99,999",Working full-time,Now married,4,1,Good,,Somewhat worse off,Very confident,Most or all of the time,No,,,,No,No,No,,,,,,,,,2021
70,0.7721,No,,,,,,,,No,No,Yes,No,No,No,No,No,More than your income,"$100,000 - $249,999",High school graduate (high school diploma or the equivalent GED),66,65-74,"White, Non-Hispanic",Female,"$50,000 to $74,999",Not working,Now married,3,0,Excellent,,About the same,Very confident,Once,Yes,,,,No,No,No,,,,,,,,,2021
71,0.3884,No,,,,,,,,No,No,Yes,No,No,No,No,No,The same as your income,"$100,000 - $249,999",Bachelor's degree or higher,65,65-74,"White, Non-Hispanic",Male,"$50,000 to $74,999",Working full-time,Divorced,1,0,Good,,About the same,Very confident,Most or all of the time,Yes,,,,No,No,No,,,,,,,,,2021
72,1.1225,No,,,,,,,,No,Yes,No,No,No,No,No,No,Less than your income,"Under $50,000",High school graduate (high school diploma or the equivalent GED),57,55-64,"White, Non-Hispanic",Female,"$25,000 to $49,999",Not working,Now married,2,0,Excellent,,Somewhat worse off,Very confident,Never carried an unpaid balance (always pay in full),No,,,,,,,,,,,,,,,2021
73,0.7061,No,,,,,,,,No,Yes,No,No,No,No,No,No,The same as your income,"Under $50,000",High school graduate (high school diploma or the equivalent GED),68,65-74,"White, Non-Hispanic",Female,"$25,000 to $49,999",Not working,Never married,1,0,Good,,Somewhat better off,Very confident,Some of the time,No,,,,No,No,No,,,,,,,,,2021
74,0.7176,No,,,,,,,,Yes,No,No,No,No,No,No,No,More than your income,,Bachelor's degree or higher,57,55-64,"White, Non-Hispanic",Female,"$50,000 to $74,999",Working part-time,Now married,4,0,Excellent,,About the same,Very confident,Never carried an unpaid balance (always pay in full),No,,,,,,,,,,,,,,,2021
75,0.3884,No,,,,,,,,No,No,Yes,No,No,No,No,No,The same as your income,"$50,000 - $99,999",Bachelor's degree or higher,60,55-64,"White, Non-Hispanic",Male,"$50,000 to $74,999",Working full-time,Now married,2,0,Fair,,Somewhat better off,Somewhat confident,Some of the time,Yes,,,,Yes,Yes,No,,,,,,,,,2021
76,0.6473,No,,,,,,,,No,No,Yes,No,No,No,No,No,The same as your income,,Bachelor's degree or higher,57,55-64,"White, Non-Hispanic",Male,"$150,000 or more",Working full-time,Now married,2,0,,,Somewhat worse off,Very confident,Never carried an unpaid balance (always pay in full),No,,,,,,,,,,,,,,,2021
77,1.3128,No,,,,,,,,Yes,No,No,No,No,No,No,No,Less than your income,,High school graduate (high school diploma or the equivalent GED),55,55-64,"White, Non-Hispanic",Male,"$100,000 to $149,999",Working full-time,Now married,4,0,,,About the same,Very confident,Never carried an unpaid balance (always pay in full),Yes,,,,,,,,,,,,,,,2021
78,0.9698,No,,,,,,,,Yes,No,No,No,No,No,No,No,Less than your income,"$50,000 - $99,999",Bachelor's degree or higher,60,55-64,"White, Non-Hispanic",Female,"$150,000 or more",Working part-time,Now married,3,0,Good,,Somewhat worse off,Very confident,Never carried an unpaid balance (always pay in full),Yes,,,,No,No,No,,,,,,,,,2021
79,0.5665,No,,,,,,,,No,No,Yes,No,No,No,No,No,The same as your income,"$250,000 - $499,999",Some college or Associate's degree,87,75+,"White, Non-Hispanic",Male,"$50,000 to $74,999",Not working,Now married,2,0,Excellent,,About the same,Very confident,Never carried an unpaid balance (always pay in full),Yes,,,,,,,,,,,,,,,2021
80,0.8584,No,,,,,,,,No,No,Yes,No,No,No,No,No,Less than your income,"Under $50,000",Some college or Associate's degree,47,45-54,"White, Non-Hispanic",Female,"$75,000 to $99,999",Working full-time,Now married,2,0,Excellent,,Somewhat better off,Very confident,Never carried an unpaid balance (always pay in full),No,,,,,,,,,,,,,,,2021
81,0.8823,No,,,,,,,,Yes,No,Yes,No,No,No,No,No,Less than your income,,Bachelor's degree or higher,70,65-74,"Other, Non-Hispanic",Male,"$150,000 or more",Working full-time,Now married,2,0,,,Somewhat better off,Very confident,Never carried an unpaid balance (always pay in full),Yes,,,,No,No,No,,,,,,,,,2021
82,0.5726,No,,,,,,,,No,No,Yes,No,No,No,No,No,Less than your income,"$50,000 - $99,999",Bachelor's degree or higher,90,75+,"White, Non-Hispanic",Female,"$25,000 to $49,999",Not working,Now married,2,0,Good,,About the same,Somewhat confident,Never carried an unpaid balance (always pay in full),Yes,,,,,,,,,,,,,,,2021
83,1.1872,No,,,,,,,,No,No,Yes,No,No,No,No,No,Less than your income,"$1,000,000 or more",High school graduate (high school diploma or the equivalent GED),59,55-64,"White, Non-Hispanic",Male,"$100,000 to $149,999",Working full-time,Now married,2,0,Excellent,,Somewhat better off,Very confident,Never carried an unpaid balance (always pay in full),Yes,,,,No,No,No,,,,,,,,,2021
84,0.3279,No,,,,,,,,No,No,Yes,No,No,No,No,No,Less than your income,"$100,000 - $249,999",Bachelor's degree or higher,71,65-74,"White, Non-Hispanic",Male,"$25,000 to $49,999",Not working,Divorced,1,0,Excellent,,About the same,Very confident,Never carried an unpaid balance (always pay in full),Yes,,,,,,,,,,,,,,,2021
